GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacocoProject,default,Hello,22,0,2,0,7,0,2,0,1,0
jacocoProject,com,Hello,0,16,0,2,0,7,0,4,0,3
